,std,range
LeftWrist_adduction_acceleration,2151.522170223424,139474.38
LeftWrist_flexion_acceleration,1350.0200074584345,97197.5
RightWrist_flexion_acceleration,977.5103620899449,69662.86
RightWrist_adduction_acceleration,677.2196327338256,47282.979999999996
RightWrist_pronation_acceleration,276.24482479793954,23300.480000000003
LeftWrist_pronation_acceleration,215.5724702268066,11787.565
LeftWrist_adduction_velocity,28.510521613318833,2254.6459999999997
LeftWrist_flexion_velocity,26.855759957867804,1455.5359
RightWrist_flexion_velocity,23.93952770489173,937.3407
RightWrist_adduction_velocity,16.49157823497125,734.8985
LeftHand_acceleration_y,12.300044919453855,844.8759
RightWrist_flexion,12.133584420704821,81.44319
LeftWrist_flexion,11.1553309695671,101.73414
LeftWrist_adduction,9.35610042414277,55.58249
LeftHand_acceleration_x,7.130064629785424,579.3644999999999
RightWrist_adduction,7.097871463899516,59.82347
LeftWrist_pronation_velocity,5.301417970275156,196.40001999999998
LeftForeArm_acceleration_z,5.179908827515938,430.7282
RightWrist_pronation_velocity,4.509253687756773,284.86105
LeftHand_acceleration_z,4.498509318779078,378.1159
LeftForeArm_acceleration_y,3.556633825311495,258.17560000000003
LeftForeArm_acceleration_x,2.457513336543357,208.5156
LeftUpperArm_acceleration_z,1.8534231833504684,127.79214999999999
RightUpperArm_acceleration_z,1.7524508337108429,119.26907
RightForeArm_acceleration_y,1.684744694152942,115.4445
RightWrist_pronation,1.3899813960524907,9.914475
RightForeArm_acceleration_z,1.3324433841029837,94.51817
RightForeArm_acceleration_x,1.2677439245148885,73.40141
RightHand_acceleration_y,1.137858431139394,47.05169
LeftWrist_pronation,0.9884382263812744,18.199640000000002
RightUpperArm_acceleration_x,0.6499357790440075,43.57515
LeftUpperArm_acceleration_x,0.6490884139103404,43.88173
RightHand_acceleration_z,0.633317964722955,28.9204
RightHand_acceleration_x,0.5402647728047247,19.218942
LeftUpperArm_acceleration_y,0.47670868702461444,26.44925
RightUpperArm_acceleration_y,0.4050708501093738,25.44256
LeftHand_velocity_y,0.16027033084580253,13.466302
LeftHand_position_y,0.08966294910607707,0.5773714000000001
LeftHand_velocity_x,0.08936856595344524,7.567899000000001
LeftForeArm_velocity_z,0.08464188523697026,4.971015
RightHand_position_x,0.07427854319916649,0.41903547999999996
RightHand_velocity_y,0.0690832002412265,1.5383241
RightHand_position_y,0.06753543797495172,0.39402309999999996
LeftHand_velocity_z,0.06175375807761851,4.612221
RightHand_velocity_x,0.06045741072085293,1.1464604999999999
RightForeArm_position_x,0.05613728150438075,0.25461186
LeftForeArm_velocity_y,0.05348968784541153,3.7994699999999995
LeftForeArm_position_z,0.051366484078007486,0.299725
LeftForeArm_position_y,0.05052211968402024,0.24415530000000008
RightForeArm_velocity_x,0.050073736441916296,1.1595549
LeftForeArm_velocity_x,0.047481642962449014,2.239872
LeftHand_position_z,0.04590805071020837,0.2635499
LeftHand_position_x,0.04183357668168466,0.2122402
RightForeArm_velocity_z,0.04180485127526149,1.3341405
LeftForeArm_position_x,0.03899095126233447,0.15025860000000002
RightForeArm_position_z,0.03844666157232341,0.24011349999999998
RightForeArm_velocity_y,0.034733031736787004,1.5870851000000001
RightForeArm_position_y,0.03379504219333389,0.14495239999999998
LeftUpperArm_position_z,0.033431999682956764,0.16967179999999993
RightUpperArm_position_z,0.03261997345703957,0.1989067
RightHand_velocity_z,0.03057981822737621,0.7734089
RightUpperArm_velocity_z,0.0284111803759749,1.9435604
LeftUpperArm_velocity_z,0.0278813467433651,2.0338230999999998
RightHand_position_z,0.024968800488296833,0.14998119999999998
RightUpperArm_velocity_x,0.02176735984004921,0.665503
LeftUpperArm_velocity_x,0.019663242264426343,0.6710553
LeftUpperArm_position_x,0.01603273436707069,0.0924201
RightUpperArm_position_x,0.01557573905191544,0.08793095000000001
LeftUpperArm_velocity_y,0.012610282573996188,0.4401526
LeftUpperArm_position_y,0.009400071919297258,0.07193899999999998
RightUpperArm_velocity_y,0.0067973309987279275,0.4181418
RightUpperArm_position_y,0.004824939922863053,0.03323699999999996
